j=0, g1=0, g2=0, mean(t)=0.002893377823683667, var(t)=1.0405968668341117
j=0, g1=0, g2=1, mean(t)=0.003617055138308737, var(t)=1.000005550185631
j=0, g1=0, g2=2, mean(t)=0.0012680377390788524, var(t)=0.999069266861023
j=0, g1=0, g2=3, mean(t)=0.03293588392099783, var(t)=1.090991616295213
j=0, g1=1, g2=0, mean(t)=0.006643342192636646, var(t)=0.9985287098139437
j=0, g1=1, g2=1, mean(t)=0.007056431542550679, var(t)=0.9955983397515256
j=0, g1=1, g2=2, mean(t)=-0.007093561294243231, var(t)=0.9771938983505457
j=0, g1=1, g2=3, mean(t)=-0.0033102819106673805, var(t)=1.037601425722318
j=0, g1=2, g2=0, mean(t)=-0.008829440985359295, var(t)=1.0150802385834707
j=0, g1=2, g2=1, mean(t)=0.003777044781105839, var(t)=1.0020178897611918
j=0, g1=2, g2=2, mean(t)=-0.016028914496292214, var(t)=0.9617781238519708
j=0, g1=2, g2=3, mean(t)=-0.005553026210884258, var(t)=1.0741428137689133
j=1, g1=0, g2=0, mean(t)=-0.014337590014406782, var(t)=0.9974098037300738
j=1, g1=0, g2=1, mean(t)=0.001147016401588644, var(t)=0.9851573523880189
j=1, g1=0, g2=2, mean(t)=-0.0046634726450964815, var(t)=1.0237777297635289
j=1, g1=1, g2=0, mean(t)=-0.0004430436044011444, var(t)=1.016475126128785
j=1, g1=1, g2=1, mean(t)=0.014115428471853021, var(t)=1.0110764263812457
j=1, g1=1, g2=2, mean(t)=0.021692956328372325, var(t)=1.009687318965486
j=1, g1=2, g2=0, mean(t)=0.005398433711374699, var(t)=0.9595984253119395
j=1, g1=2, g2=1, mean(t)=-0.001740620322238199, var(t)=0.9829415511765109
j=1, g1=2, g2=2, mean(t)=-0.009664857760816341, var(t)=1.034437938071313
j=1, g1=3, g2=0, mean(t)=-0.011580987268933729, var(t)=1.0915372195074085
j=1, g1=3, g2=1, mean(t)=0.007987698247055263, var(t)=1.0219074341161638
j=1, g1=3, g2=2, mean(t)=-0.00762173158320673, var(t)=1.0601742687427818
