j=0, g1=0, g2=0, mean(t)=0.004667807944341814, var(t)=1.2478639547285737
j=0, g1=0, g2=1, mean(t)=-0.02659816839024376, var(t)=1.0145736418988884
j=0, g1=0, g2=2, mean(t)=-0.0033250516575301903, var(t)=0.9748883060414741
j=0, g1=0, g2=3, mean(t)=-0.020394202282644394, var(t)=1.056512998602995
j=0, g1=0, g2=4, mean(t)=-0.012114070113706582, var(t)=1.2290571335401623
j=0, g1=1, g2=0, mean(t)=-0.02537344917883869, var(t)=1.0246064932796364
j=0, g1=1, g2=1, mean(t)=0.009623543048361832, var(t)=1.0091667295923206
j=0, g1=1, g2=2, mean(t)=-0.039782888841713535, var(t)=0.9980465968479971
j=0, g1=1, g2=3, mean(t)=0.015098738648795969, var(t)=1.010023689592511
j=0, g1=1, g2=4, mean(t)=0.013117546623726795, var(t)=1.0553623301575936
j=0, g1=2, g2=0, mean(t)=-0.01810446016511921, var(t)=1.020717163132632
j=0, g1=2, g2=1, mean(t)=0.026287116888814722, var(t)=0.9974139852597587
j=0, g1=2, g2=2, mean(t)=-0.012397971060201235, var(t)=0.9454090662964463
j=0, g1=2, g2=3, mean(t)=-0.010871840905443587, var(t)=1.025707269954893
j=0, g1=2, g2=4, mean(t)=-0.054970212817850146, var(t)=1.068437865167887
j=0, g1=3, g2=0, mean(t)=0.04222647168286628, var(t)=1.2535785619525426
j=0, g1=3, g2=1, mean(t)=0.023883805238005387, var(t)=1.114361371100109
j=0, g1=3, g2=2, mean(t)=-0.04425363511246608, var(t)=0.972389551432661
j=0, g1=3, g2=3, mean(t)=0.011598867477126924, var(t)=1.0671891150745847
j=0, g1=3, g2=4, mean(t)=-0.02327591639858266, var(t)=1.434451404499128
j=1, g1=0, g2=0, mean(t)=0.029367146873349164, var(t)=1.2310570385618231
j=1, g1=0, g2=1, mean(t)=0.03703379037220302, var(t)=1.0526662651844276
j=1, g1=0, g2=2, mean(t)=-0.00509142518201514, var(t)=1.044600411444675
j=1, g1=0, g2=3, mean(t)=0.010730487593566932, var(t)=1.2591010635374011
j=1, g1=1, g2=0, mean(t)=0.00969732337522355, var(t)=1.0146976873905171
j=1, g1=1, g2=1, mean(t)=0.004796552710927562, var(t)=1.017984328801628
j=1, g1=1, g2=2, mean(t)=0.013309966559169698, var(t)=0.9175556988817488
j=1, g1=1, g2=3, mean(t)=-0.010507933098957985, var(t)=0.9988458387026141
j=1, g1=2, g2=0, mean(t)=0.02158806269874001, var(t)=0.9998501969680328
j=1, g1=2, g2=1, mean(t)=-0.007047097190136184, var(t)=1.011684592087097
j=1, g1=2, g2=2, mean(t)=0.005025694078822787, var(t)=1.0145419333470114
j=1, g1=2, g2=3, mean(t)=0.01890342340697527, var(t)=1.0061830949762522
j=1, g1=3, g2=0, mean(t)=-0.020316074111883388, var(t)=0.9968324461522244
j=1, g1=3, g2=1, mean(t)=0.0007486920386612192, var(t)=0.9801537591299968
j=1, g1=3, g2=2, mean(t)=-0.01938502642743862, var(t)=1.063048292560303
j=1, g1=3, g2=3, mean(t)=-0.009839560625071637, var(t)=1.0868987226151317
j=1, g1=4, g2=0, mean(t)=0.01813211409717333, var(t)=1.241779404191357
j=1, g1=4, g2=1, mean(t)=0.042427887700978884, var(t)=0.9766522590777104
j=1, g1=4, g2=2, mean(t)=-0.027361535768895173, var(t)=1.1085931484552314
j=1, g1=4, g2=3, mean(t)=0.03878556894317274, var(t)=1.4548482274921049
